,Name,Race 1,Race 2,Overall,Race 1 Location 2,Race 2 Location 2,Overall Location 2,Race 1 Location 3,Race 2 Location 3,Overall Location 3,Race 1 Location 4,Race 2 Location 4,Overall Location 4,Race 1 Location 5,Race 2 Location 5,Overall Location 5,Race 1 Location 6,Race 2 Location 6,Overall Location 6,Race 1 Location 7,Race 2 Location 7,Overall Location 7
0,zach _osborne,1,1,1,4,2,1.0,4,1,1.0,2,1,1.0,1,2,1.0,2,1,1.0,2,1,1.0
1,alex _martin,4,4,2,1,7,2.0,1,4,2.0,1,2,2.0,5,1,2.0,3,3,2.0,1,2,2.0
2,aaron _plessinger,3,5,3,9,1,3.0,3,2,3.0,3,3,3.0,3,3,3.0,1,8,3.0,3,3,3.0
3,adam _cianciarulo,2,8,4,7,3,4.0,2,3,4.0,4,4,4.0,2,5,4.0,7,2,4.0,5,4,4.0
4,austin _forkner,11,2,5,5,4,5.0,8,5,5.0,7,5,5.0,4,4,5.0,5,4,5.0,4,6,5.0
5,colt _nichols,5,6,6,6,5,6.0,9,6,6.0,6,6,6.0,8,8,6.0,6,11,6.0,7,5,6.0
6,joey _savatgy,7,7,7,3,13,7.0,6,12,7.0,8,7,7.0,6,11,7.0,4,14,7.0,6,7,7.0
7,justin _hill,8,9,8,8,10,8.0,11,8,8.0,9,8,8.0,11,7,8.0,9,9,8.0,9,8,8.0
8,mitchell _oldenburg,6,12,9,2,29,9.0,10,9,9.0,5,13,9.0,13,6,9.0,12,7,9.0,8,10,9.0
9,mitchell _harrison,9,11,10,13,8,10.0,12,10,10.0,10,9,10.0,10,10,10.0,11,10,10.0,15,9,10.0
10,jeremy _martin,35,3,11,12,9,11.0,17,7,11.0,11,14,11.0,15,9,11.0,8,13,11.0,12,12,11.0
11,sean _cantrell,10,13,12,10,11,12.0,15,11,12.0,15,12,12.0,9,15,12.0,17,5,12.0,11,13,12.0
12,shane _mc_elrath,16,10,13,38,6,13.0,13,13,13.0,19,10,13.0,12,14,13.0,10,12,13.0,10,14,13.0
13,michael _mosiman,12,14,14,15,15,14.0,5,37,14.0,18,11,14.0,7,38,14.0,20,6,14.0,18,11,14.0
14,nick _gaines,13,15,15,17,14,15.0,7,39,15.0,14,15,15.0,17,13,15.0,14,16,15.0,16,15,15.0
15,cameron _mc_adoo,15,16,16,14,17,16.0,16,14,16.0,13,16,16.0,38,12,16.0,13,18,16.0,14,17,16.0
16,luke _renzland,14,20,17,11,34,17.0,18,15,17.0,12,30,17.0,16,17,17.0,15,17,17.0,13,37,17.0
17,lorenzo _locurcio,18,17,18,40,12,18.0,14,19,18.0,16,18,18.0,18,16,18.0,24,15,18.0,17,19,18.0
18,jerry _robin,17,40,19,20,16,19.0,19,16,19.0,35,17,19.0,14,20,19.0,16,21,19.0,21,16,19.0
19,gustavo _souza,34,18,20,18,18,20.0,25,17,20.0,17,36,20.0,39,18,20.0,19,20,20.0,22,18,20.0
20,brandan _leith,22,19,21,16,33,21.0,20,18,21.0,40,19,21.0,32,19,21.0,18,28,21.0,19,33,21.0
21,cody _williams,19,22,22,19,19,22.0,21,20,22.0,37,20,22.0,19,39,22.0,22,19,22.0,23,20,22.0
22,jimmy _decotis,20,37,23,21,20,23.0,24,22,23.0,20,38,23.0,20,21,23.0,21,23,23.0,20,34,23.0
23,bradley _lionnet,21,21,24,22,22,24.0,23,23,24.0,23,22,24.0,23,22,24.0,25,22,24.0,25,21,24.0
24,josiah _hempen,23,25,25,26,21,25.0,27,21,25.0,26,21,25.0,21,25,25.0,23,25,25.0,27,24,25.0
25,stone _edler,27,23,26,23,24,26.0,22,28,26.0,24,23,26.0,27,24,26.0,29,24,26.0,24,27,26.0
26,vann _martin,24,27,27,28,23,27.0,28,25,27.0,22,26,27.0,26,26,27.0,28,27,27.0,29,23,27.0
27,nico _izzi,25,28,28,27,27,28.0,29,27,28.0,27,25,28.0,25,27,28.0,30,26,28.0,34,22,28.0
28,mason _wharton,29,26,29,30,25,29.0,26,30,29.0,31,24,29.0,28,28,29.0,31,30,29.0,28,29,29.0
29,deegan _vonlossberg,26,30,30,29,26,30.0,31,26,30.0,29,27,30.0,22,36,30.0,26,36,30.0,30,28,30.0
30,broc _loftus,30,31,31,24,32,31.0,30,29,31.0,28,29,31.0,31,30,31.0,32,32,31.0,26,35,31.0
31,garret _ioppolo,32,32,32,32,28,32.0,38,24,32.0,21,39,32.0,30,31,32.0,34,31,32.0,31,31,32.0
32,cole _zitterkopf,31,33,33,25,35,33.0,33,31,33.0,32,32,33.0,29,32,33.0,27,38,33.0,33,30,33.0
33,mc_coy _brough,41,24,34,31,30,34.0,32,32,34.0,30,35,34.0,24,37,34.0,37,29,34.0,39,25,34.0
34,joachim _falden,28,39,35,33,31,35.0,34,33,35.0,25,40,35.0,33,29,35.0,35,33,35.0,32,32,35.0
35,travis _bell,39,29,36,35,36,36.0,35,34,36.0,38,28,36.0,40,23,36.0,33,37,36.0,40,26,36.0
36,jon _ames,33,36,37,34,38,37.0,36,35,37.0,36,31,37.0,34,34,37.0,39,34,37.0,35,36,37.0
37,tucker _cantrell,38,35,38,37,37,38.0,39,36,38.0,34,34,38.0,36,33,38.0,38,35,38.0,36,38,38.0
38,dalton _oxborrow,40,34,39,36,40,39.0,37,38,39.0,33,37,39.0,35,35,39.0,36,39,39.0,38,39,39.0
39,kyle _cunningham,37,38,40,39,39,40.0,40,40,40.0,39,33,40.0,37,40,40.0,40,40,40.0,37,40,40.0
40,dylan _ferrandis,36,41,41,,,,,,,,,,,,,,,,,,
